"filename", "language", "JSON with Comments", "JavaScript", "Astro", "JSON", "TypeScript", "comment", "blank", "total"
"c:\Users\Samir\code\worm-cat\astro.config.mjs", "JavaScript", 0, 27, 0, 0, 0, 1, 5, 33
"c:\Users\Samir\code\worm-cat\package-lock.json", "JSON", 0, 0, 0, 4218, 0, 0, 1, 4219
"c:\Users\Samir\code\worm-cat\package.json", "JSON", 0, 0, 0, 21, 0, 0, 1, 22
"c:\Users\Samir\code\worm-cat\public\site.webmanifest", "JSON", 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\Samir\code\worm-cat\src\components\About.astro", "Astro", 0, 0, 185, 0, 0, 0, 19, 204
"c:\Users\Samir\code\worm-cat\src\components\CreditsHead.astro", "Astro", 0, 0, 30, 0, 0, 0, 3, 33
"c:\Users\Samir\code\worm-cat\src\components\Hero.astro", "Astro", 0, 0, 217, 0, 0, 0, 32, 249
"c:\Users\Samir\code\worm-cat\src\components\Music.astro", "Astro", 0, 0, 55, 0, 0, 0, 7, 62
"c:\Users\Samir\code\worm-cat\src\i18n\ca.ts", "TypeScript", 0, 0, 0, 0, 21, 0, 0, 21
"c:\Users\Samir\code\worm-cat\src\i18n\en.ts", "TypeScript", 0, 0, 0, 0, 21, 0, 0, 21
"c:\Users\Samir\code\worm-cat\src\layouts\Layout.astro", "Astro", 0, 0, 39, 0, 0, 0, 3, 42
"c:\Users\Samir\code\worm-cat\src\layouts\smallLayout.astro", "Astro", 0, 0, 39, 0, 0, 0, 3, 42
"c:\Users\Samir\code\worm-cat\src\lib\db.ts", "TypeScript", 0, 0, 0, 0, 10, 0, 3, 13
"c:\Users\Samir\code\worm-cat\src\pages\api\mk.ts", "TypeScript", 0, 0, 0, 0, 42, 0, 7, 49
"c:\Users\Samir\code\worm-cat\src\pages\api\music.ts", "TypeScript", 0, 0, 0, 0, 67, 0, 16, 83
"c:\Users\Samir\code\worm-cat\src\pages\ca\index.astro", "Astro", 0, 0, 13, 0, 0, 0, 3, 16
"c:\Users\Samir\code\worm-cat\src\pages\credits.astro", "Astro", 0, 0, 7, 0, 0, 0, 1, 8
"c:\Users\Samir\code\worm-cat\src\pages\index.astro", "Astro", 0, 0, 18, 0, 0, 0, 6, 24
"c:\Users\Samir\code\worm-cat\tsconfig.json", "JSON with Comments", 5, 0, 0, 0, 0, 0, 1, 6
"Total", "-", 5, 27, 603, 4240, 161, 1, 111, 5148
