"filename", "language", "Astro", "TypeScript", "comment", "blank", "total"
"c:\Users\Samir\code\worm-cat\src\components\About.astro", "Astro", 185, 0, 0, 19, 204
"c:\Users\Samir\code\worm-cat\src\components\CreditsHead.astro", "Astro", 30, 0, 0, 3, 33
"c:\Users\Samir\code\worm-cat\src\components\Hero.astro", "Astro", 217, 0, 0, 32, 249
"c:\Users\Samir\code\worm-cat\src\components\Music.astro", "Astro", 55, 0, 0, 7, 62
"c:\Users\Samir\code\worm-cat\src\i18n\ca.ts", "TypeScript", 0, 21, 0, 0, 21
"c:\Users\Samir\code\worm-cat\src\i18n\en.ts", "TypeScript", 0, 21, 0, 0, 21
"c:\Users\Samir\code\worm-cat\src\layouts\Layout.astro", "Astro", 39, 0, 0, 3, 42
"c:\Users\Samir\code\worm-cat\src\layouts\smallLayout.astro", "Astro", 39, 0, 0, 3, 42
"c:\Users\Samir\code\worm-cat\src\lib\db.ts", "TypeScript", 0, 10, 0, 3, 13
"c:\Users\Samir\code\worm-cat\src\pages\api\mk.ts", "TypeScript", 0, 42, 0, 7, 49
"c:\Users\Samir\code\worm-cat\src\pages\api\music.ts", "TypeScript", 0, 67, 0, 16, 83
"c:\Users\Samir\code\worm-cat\src\pages\ca\index.astro", "Astro", 13, 0, 0, 3, 16
"c:\Users\Samir\code\worm-cat\src\pages\credits.astro", "Astro", 7, 0, 0, 1, 8
"c:\Users\Samir\code\worm-cat\src\pages\index.astro", "Astro", 18, 0, 0, 6, 24
"Total", "-", 603, 161, 0, 103, 867
